District,Block,Cluster,Name of the school,Grama Panchayat,Addition,Subtraction,Multiplication,Division
Bengaluru rural,Devanahalli,Boodigere,G HPS SOMATHANAHALLI,Gangavara,1,1,0,1
Bengaluru rural,Devanahalli,Boodigere,G HPS SOMATHANAHALLI,Gangavara,1,0,0,1
Bengaluru rural,Devanahalli,Boodigere,G HPS SOMATHANAHALLI,Gangavara,1,1,0,1
Bengaluru rural,Devanahalli,Boodigere,G HPS SOMATHANAHALLI,Gangavara,1,1,0,0
Bengaluru rural,Devanahalli,Boodigere,G HPS GANGAVARA,Gangavara,1,1,0,0
Bengaluru rural,Devanahalli,Boodigere,G HPS GANGAVARA,Gangavara,1,0,0,0
Bengaluru rural,Devanahalli,Boodigere,G HPS GANGAVARA,Gangavara,1,0,0,0
Bengaluru rural,Devanahalli,Boodigere,G HPS GANGAVARA,Gangavara,1,1,0,0
Bengaluru rural,Devanahalli,Boodigere,G LPS NAGENAHALLI,Gangavara,1,1,1,1
Bengaluru rural,Devanahalli,Boodigere,G LPS CHOWDAPPANAHALLI,Gangavara,0,0,0,0
Bengaluru rural,Devanahalli,Boodigere,G LPS KAGGALAHALLI,Gangavara,1,1,1,1
Bengaluru rural,Devanahalli,Boodigere,G LPS KONDENAHALLI,Gangavara,1,1,0,1
Bengaluru rural,Devanahalli,Boodigere,G LPS KONDENAHALLI,Gangavara,0,0,0,1
Bengaluru rural,Devanahalli,Boodigere,G LPS KONDENAHALLI,Gangavara,1,1,0,0
Bengaluru rural,Devanahalli,Boodigere,G LPS KONDENAHALLI,Gangavara,0,0,0,0
Bengaluru rural,Devanahalli,Boodigere,G LPS KONDENAHALLI,Gangavara,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,1,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,1,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,1,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,1,1,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,1,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,0,0,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,0,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,0,1,0
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,1,1,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  GOSIKERE,T.n.kote,1,1,1,1
Chitradurga,Challakere,T n kote,GOVERNMENT HIGHER PRIMARY SCHOOL  T.N.KOTE,T.n.kote,1,0,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT HGIHER PRIMARY SCHOOL  TOREBEERANAHALLY,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,T.n.kote,0,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,T.n.kote,0,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  MELUKOTE,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,T.n.kote,1,1,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,T.n.kote,1,0,0,0
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,T.n.kote,1,1,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,T.n.kote,1,1,1,1
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL  KONIGARAHALLY,T.n.kote,0,0,0,1
Chitradurga,Challakere,T n kote,GOVERNMENT LOWER PRIMARY SCHOOL GATAPARTHY HOSAKAPILE,T.n.kote,0,0,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL MANJARALA,Kamalpur,0,0,1,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL MANJARALA,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL MANJARALA,Kamalpur,1,0,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL KAMALAPUR,Kamalpur,0,1,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL KAMALAPUR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL KAMALAPUR,Kamalpur,0,1,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL ANWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL ANWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,0,0,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,0
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,0
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,0,0,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,0,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,0
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.LOWER PRIMARY SCHOOL HOSAGONWAR,Kamalpur,1,1,1,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,0,0,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,0,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,0,0,1,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,0,1,1,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,0,0,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,1
Raichur,Raichur,Gadhar,GOVT.HIGHER PRIMARY SCHOOL GONWAR,Kamalpur,1,1,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,0,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,0,0,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,0,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,0,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,0,0,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,0,0,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,0,0,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,0,0,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,0,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,0,0
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,1
Dharwad,Kundagol,Urdu kundagol,GHPS KANNADA GIRLS YALIWAL,Yeliwal,1,1,1,0
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,0
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,0
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,0
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GLPS (SWS) UTHANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,0,1,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,0,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,0,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,0,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,0,1,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,0,1,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,0,0,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,1,1,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,1,1,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,1,1,0
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,0,1,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS UTHANOOR,Uththanuru,0,0,1,0
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,0,0
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,0,1,1,0
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,0,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,0,0,0,0
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,0
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS & GHS MOTA SUGUR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,0
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,0
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,0,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,0,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,0,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,1,1,1,1
Ballari,Siruguppa,Talur,GHPS   KOORIGANOOR,Uththanuru,0,0,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,0,0
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,0,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,0,0,0,0
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,0,1,0,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,0,0,1,1
Ballari,Siruguppa,Sirigeri,GLPS BASAVANA PETE,Sirigeri,1,1,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,0,0,0,0
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,0
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,0
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,0
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,0
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,0,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,1
Ballari,Siruguppa,Sirigeri,GHPS JANATA COLONY,Sirigeri,1,1,0,1
